02_Y_center,03_LaserPower,04_LaserSpeed,17_Length_range,27_Width_2quantile,38_Temper_1quantile,Roughness_Ra(um)
-60,270,600,7,6,586.6,11.894
-60,240,700,7,7,577.3,10.947
-60,270,850,7,7,563.7,12.483
-30,160,660,7,7,573.7,18.455
-30,270,600,7,8,590.7,8.125
-30,240,700,7,8,580.3,12.237
-30,270,850,7,8,582.5,16.204
0,160,660,7,8,572.8,15.775
0,270,850,7,6,597.6,16.194
0,270,600,7,8,588.5,10.837
0,240,700,7,8,585.1,13.676
0,270,600,7,8,579.4,10.806
30,240,700,7,7,584.2,12.888
30,270,850,7,6,574.1,14.085
30,160,660,5,7,566.2,16.829
30,270,600,7,8,578.8,10.93
60,240,700,4,6,571.9,13.693
60,270,850,5,4,568.1,15.208
60,160,660,1,6,567.1,18.042
-60,270,600,7,6,586.6,11.894
-60,240,700,7,7,577.3,10.947
-60,270,850,7,7,563.7,12.483
-30,160,660,7,7,573.7,18.455
-30,270,600,7,8,590.7,8.125
-30,240,700,7,8,580.3,12.237
-30,270,850,7,8,582.5,16.204
0,160,660,7,8,572.8,15.775
0,270,850,7,6,597.6,16.194
0,270,600,7,8,588.5,10.837
0,240,700,7,8,585.1,13.676
0,270,600,7,8,579.4,10.806
30,240,700,7,7,584.2,12.888
30,270,850,7,6,574.1,14.085
30,160,660,5,7,566.2,16.829
30,270,600,7,8,578.8,10.93
60,240,700,4,6,571.9,13.693
60,270,850,5,4,568.1,15.208
60,160,660,1,6,567.1,18.042
-60,270,600,7,6,586.6,11.894
-60,240,700,7,7,577.3,10.947
-60,270,850,7,7,563.7,12.483
-30,160,660,7,7,573.7,18.455
-30,270,600,7,8,590.7,8.125
-30,240,700,7,8,580.3,12.237
-30,270,850,7,8,582.5,16.204
0,160,660,7,8,572.8,15.775
0,270,850,7,6,597.6,16.194
0,270,600,7,8,588.5,10.837
0,240,700,7,8,585.1,13.676
0,270,600,7,8,579.4,10.806
30,240,700,7,7,584.2,12.888
30,270,850,7,6,574.1,14.085
30,160,660,5,7,566.2,16.829
30,270,600,7,8,578.8,10.93
60,240,700,4,6,571.9,13.693
60,270,850,5,4,568.1,15.208
60,160,660,1,6,567.1,18.042
